query,error_type,error_subtype,emotion,feedback_target,intended_learning_outcome
"SELECT r.Status, COUNT(l.Log_ID) AS log_count FROM Robots r LEFT JOIN Logs l ON r.Robot_ID = l.Robot_ID WHERE r.Manufacturing_Date > '2020-01-01' GROUP BY r.Status",syntax,missing semicolons,anger,Don't worry! Stay Calm! Just remember to add a semicolon at the end.,Understanding the importance of semicolons in complex queries
SELECT Robot_ID FROM Robots WHERE Status = 'Inactive' ORDER BY Last_Software_Update DESC,syntax,missing semicolons,neutral,Don't forget to end your SQL statements with a semicolon!,Understanding the importance of semicolons in SQL
DROP VIEW IF EXISTS ActiveRobots,syntax,missing semicolons,anger,Stay Calm! Remember to add a semicolon at the end.,Understanding the importance of semicolons in SQL
UPDATE Robots SET Status = 'Maintenance' WHERE Robot_ID = 5,syntax,missing semicolons,sadness,Don't worry about syntax details! UPDATE statements need semicolons at the end to be complete.,Understanding the importance of semicolons in UPDATE operations
"SELECT Action_Description, Robot_ID FROM Logs WHERE Employee_ID = 3",syntax,missing semicolons,happiness,Great job! Just remember to add a semicolon at the end.,Understanding the importance of semicolons in SQL
"SELECT e.Name, r.Model FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID",syntax,missing semicolons,neutral,Don't forget to add a semicolon at the end of your query.,Understanding the importance of semicolons in complex queries
SELECT * FROM Logs WHERE Timestamp < '2022-01-01',syntax,missing semicolons,sadness,SQL operations can be nerve-wracking! Add ';' at the end to properly execute the selection.,Understanding the importance of semicolons in SQL
SELECT * FROM Employees WHERE Division = 'IT' ORDER BY Name,syntax,missing semicolons,neutral,Don't forget to add a semicolon at the end of your query.,Understanding the importance of semicolons in SQL
SELECT DISTINCT Model FROM Robots WHERE Status = 'Active',syntax,missing semicolons,anger,Don't stress about mistakes. Don't forget to add a semicolon at the end of your query.,Understanding the importance of semicolons in SQL
SELECT Status FROM Robots WHERE Model = 'R2R2',syntax,missing semicolons,happiness,Great job! Just remember to add a semicolon at the end.,Understanding the importance of semicolons in SQL
"SELECT e.Name, COUNT(r.Robot_ID) FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID GROUP BY e.Name",syntax,missing semicolons,neutral,Don't forget to add a semicolon at the end of your query.,Understanding the importance of semicolons in complex queries
SELECT Employee_ID FROM Logs WHERE Action_Description LIKE '%test%' AND Timestamp < '2023-01-01',syntax,missing semicolons,anger,Don't worry! Remember to add a semicolon at the end of your query.,Understanding the importance of semicolons in SQL
"SELECT Robot_ID, (SELECT MAX(Timestamp) FROM Logs l WHERE l.Robot_ID = r.Robot_ID) as last_log FROM Robots r",syntax,missing semicolons,anger,"Don't worry, take a deep breath! Just add a semicolon at the end of your query.",Understanding the importance of semicolons in complex queries
"CREATE TABLE Maintenance_Schedule (Schedule_ID INT PRIMARY KEY, Robot_ID INT, Scheduled_Date DATE, FOREIGN KEY (Robot_ID) REFERENCES Robots(Robot_ID))",syntax,missing semicolons,happiness,Great job! Just remember to add a semicolon at the end.,Understanding the importance of semicolons in DDL statements
SELECT * FROM Robots WHERE Status = 'Active',syntax,missing semicolons,neutral,Don't forget to add a semicolon at the end of your query.,Understanding the importance of semicolons in SQL
"SELECT * FROM Employees WHERE Employee_ID IN (1, 3, 5, 7, 9) OR Division LIKE '%Tech%'",syntax,missing semicolons,anger,"Don't worry, take a deep breath! Just add a semicolon at the end of your query.",Understanding the importance of semicolons in SQL
SELECT Access_Code_ID FROM Access_Codes WHERE Employee_ID = 56,syntax,missing semicolons,happiness,Great job! Just remember to add a semicolon at the end.,Understanding the importance of semicolons in SQL
"INSERT INTO Incidents (Description, Timestamp, Robot_ID, Employee_ID) VALUES ('System Error', NOW(), 101, 5)",syntax,missing semicolons,anger,Calm Down! Don't forget to add a semicolon at the end of your query.,Learning to properly terminate INSERT statements
"SELECT Employee_ID, Name FROM Employees WHERE Division = 'Engineering'",syntax,missing semicolons,neutral,Review the SQL statement for any missing punctuation marks.,Understanding the importance of semicolons in SQL
SELECT * FROM Employees,syntax,missing semicolons,sadness,Keep practicing! Don't forget to end each SQL statement with a semicolon.,Understanding the importance of semicolons in SQL
"SELECT Model, Last_Software_Update FROM Robots WHERE Status = 'Inactive'",syntax,missing semicolons,happiness,Great job! Remember to add semicolons at the end of each SQL statement.,Understanding the importance of semicolons in SQL
SELECT COUNT(*) FROM Incidents WHERE Timestamp > '2024-01-01' GROUP BY Robot_ID,syntax,missing semicolons,happiness,Great job! Just remember to add semicolons.,Understanding the importance of semicolons in SQL
SELECT * FROM Access_Codes WHERE Employee_ID = 5,syntax,missing semicolons,anger,Don't worry! Remember to add semicolons at the end of each SQL statement.,Understanding the importance of semicolons in SQL
"SELECT Employee_ID, Name FROM Employees WHERE Last_Login_Time > '2024-01-01' ORDER BY Name",syntax,missing semicolons,calmness,"Your query syntax is correct, just missing the semicolon terminator.",Understanding the importance of semicolons in SQL
"SELECT e.Name, r.Model FROM Employees e INNER JOIN Robots r ON e.Employee_ID = r.Employee_ID WHERE e.Division = 'Engineering' ORDER BY e.Name",syntax,missing semicolons,anger,Keep trying! All you need to do is to add semicolons at the end of SQL statement.,Understanding the importance of semicolons in complex queries
"SELECT Employee_ID, COUNT(Log_ID) as LogCount FROM Logs WHERE Timestamp > '2024-01-01' GROUP BY Employee_ID HAVING COUNT(Log_ID) > 5",syntax,missing semicolons,neutral,Ensure to include semicolons at the end of each SQL statement.,Understanding the importance of semicolons in complex queries
SELECT * FROM Incidents WHERE Employee_ID = 3 AND Robot_ID = 1,syntax,missing semicolons,calmness,Take your time to review the query structure and remember to include semicolons at the end of each statement.,Understanding the importance of semicolons in SQL
"SELECT Name, Division FROM Employees WHERE Job_Role = 'Manager'",syntax,missing semicolons,happiness,Keep up the good work! Remember to add semicolons at the end of each SQL statement.,Understanding the importance of semicolons in SQL
"SELECT Robot_ID, Model FROM Robots WHERE Manufacturing_Date BETWEEN '2020-01-01' AND '2024-12-31'",syntax,missing semicolons,anger,It's okay to struggle with this. You need to add semicolons at the end of your SQL statement.,Understanding the importance of semicolons in SQL
SELECT * FROM Access_Codes WHERE Access_Code_ID =111,syntax,missing semicolons,anger,"Don't worry, a semicolon usually marks the end of a SQL statement.",Understanding the importance of semicolons in SQL
SELECT DISTINCT Level_of_Access FROM Access_Codes,syntax,missing semicolons,sadness,"Don't worry, a semicolon usually marks the end of a SQL statement.",Understanding the importance of semicolons in SQL
"SELECT Employee_ID, Action_Description FROM Logs ORDER BY Timestamp",syntax,missing semicolons,happiness,Great job! Don't forget to add semicolons at the end of each SQL statement.,Understanding the importance of semicolons in SQL
"SELECT * FROM Incidents WHERE Robot_ID IN (1, 2, 3)",syntax,missing semicolons,happiness,Fantastic job! Just remember to add semicolons at the end of your SQL statements.,Understanding the importance of semicolons in SQL
SELECT DISTINCT Division FROM Employees,syntax,missing semicolons,sadness,Cheer up! Don't forget to add semicolons to your SQL statements.,Understanding the importance of semicolons in SQL
"SELECT e1.Name as Employee, e2.Name as Colleague FROM Employees e1 JOIN Employees e2 ON e1.Division = e2.Division WHERE e1.Employee_ID != e2.Employee_ID",syntax,missing semicolons,calmness,Remember to add semicolons at the end of each SQL statement.,Understanding the importance of semicolons in complex queries
SELECT * FROM Logs WHERE Employee_ID = 1 OR Robot_ID = 2,syntax,missing semicolons,calmness,Remember to add semicolons at the end of each SQL statement.,Understanding the importance of semicolons in SQL
SELECT Employee_ID FROM Employees WHERE Name = 'John'  AND Division = 'IT',syntax,missing semicolons,calmness,Remember to add semicolons at the end of each SQL statement.,Understanding the importance of semicolons in SQL
SELECT Action_Description FROM Logs WHERE Timestamp >= '2020-01-01',syntax,missing semicolons,anger,Take a breath - you've got the logic perfect! Just add that semicolon and you're done.,Understanding the importance of semicolons in SQL
"SELECT e.Name, l.Action_Description, i.Description FROM Employees e LEFT JOIN Logs l ON e.Employee_ID = l.Employee_ID  LEFT JOIN Incidents i ON l.Robot_ID = i.Robot_ID AND l.Robot_ID IS NOT NULL ORDER BY e.name",syntax,missing semicolons,happiness,Great job! Don't forget to add a semicolon at the end for proper syntax.,Understanding the importance of semicolons in complex queries
SELECT * FROM Access_Codes WHERE Level_of_Access = 'Admin' AND Timestamp_of_Last_Use > '2025-06-01',syntax,missing semicolons,sadness,"Don't worry, it's an easy mistake! Just add a semicolon at the end of your query.",Understanding the importance of semicolons in SQL
SELECT MAX(Incident_ID) FROM Incidents,syntax,missing semicolons,sadness,Don't worry! Remember to add a semicolon at the end of your query.,Understanding the importance of semicolons in SQL
SELECT * FROM Incidents AS i JOIN Employees AS e ON i.Employee_ID = e.Employee_ID WHERE i.Description = 'Malfunction',syntax,missing semicolons,anger,Calm Down! Don't forget to add a semicolon at the end of your query.,Understanding the importance of semicolons in SQL
"SELECT e.Name, r.Model FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID WHERE e.Division = 'Engineering' AND r.Status = 'Active'",syntax,missing semicolons,happiness,Good use of JOIN syntax! Just add a semicolon at the end of your query.,Understanding the importance of semicolons in SQL
SELECT * FROM Logs WHERE Timestamp BETWEEN '2024-01-01' AND '2024-12-31',syntax,missing semicolons,neutral,Remember to add a semicolon at the end of your statement.,Understanding the importance of semicolons in SQL
SELECT * FROM Robots WHERE Manufacturing_Date BETWEEN '2020-01-01' AND '2022-12-31' AND Model = 'Y100',syntax,missing semicolons,anger,Stay Calm! Remember to add a semicolon at the end.,Understanding the importance of semicolons in SQL
"SELECT Employee_ID, Name FROM Employees WHERE Division = 'IT' ODER BY Name;",syntax,misspelling,calmness,Correct spelling of 'ODER' to 'ORDER' for proper sorting.,Understanding correct spelling of ORDER BY clause
SELECT CONT(*) FROM Robots;,syntax,misspelling,happiness,Great start! Just fix the typo about COUNT.,Learning correct spelling of basic SQL keywords
UPDATE Robots SET Status = 'maintenance' WHER Robot_ID = 10;,syntax,misspelling,sadness,Don't worry about typos! 'WHER' should be 'WHERE' to specify the condition.,Understanding correct spelling in UPDATE statements
"SELECT Division, COUNT(Employee_ID) FROM Employees GROUP BY Division HAVNG COUNT(Employee_ID) > 5;",syntax,misspelling,anger,No stress about spelling! 'HAVNG' should be 'HAVING' to filter groups.,Learning correct spelling of basic SQL keywords
DELETE FORM Logs WHERE Robot_ID IN (SELECT Robot_ID FROM Incidents WHERE Description LIKE '%error%');,syntax,misspelling,neutral,Correct spelling of 'FORM' to 'FROM' for proper deletion.,Understanding correct spelling in DELETE statements
SELECT * FROM Incidents WHERE Robot_ID = 1 RO Employee_ID = 2;,syntax,misspelling,calmness,Notice the typo in 'RO'.,Learning correct spelling of basic SQL keywords
"SELECT r.Employee_ID, r.Model FROM Robots r INNER JION Logs l ON r.Robot_ID = l.Robot_ID WHERE l.Action_Description = 'Maintenance';",syntax,misspelling,happiness,Great job on the INNER JOIN! Just fix the typo: 'JION'.,Understanding proper spelling of JOIN keywords
"INSRET INTO Access_Codes (Employee_ID, Level_of_Access, Timestamp_of_Last_Use) VALUES (1, 'Admin', '2023-03-15');",syntax,misspelling,sadness,Don't worry about the typo! Just fix the INSRET.,Learning correct spelling of INSERT statements
SELECT Employee_ID SA emp_id FROM Access_Codes;,syntax,misspelling,anger,Take a deep breath and correct the typo for AS.,Learning correct spelling of basic SQL keywords
"SELECT Division, MXA(Employee_ID) FROM Employees GROUP BY Division;",syntax,misspelling,neutral,Correct the typo for 'MXA'.,Learning correct spelling of basic SQL functions
SELCT * FROM Employees WHERE Division = 'IT' ORDER BY Last_Login_Time DESC;,syntax,misspelling,sadness,Don't worry about typos! Correct the typo for ‘SELCT''.,Learning correct spelling of basic SQL keywords
"SELECT i.Description, r.Model FROM Incidents i INER JOIN Robots r ON i.Robot_ID = r.Robot_ID;",syntax,misspelling,happiness,Good Attempt! Just check the spelling of 'INER JOIN'.,Understanding proper spelling of JOIN keywords
"SELECT DISTINT Job_Role, Division FROM Employees;",syntax,misspelling,calmness,Check the spelling of ‘DISTINT'.,Learning correct spelling of basic SQL keywords
"SELECT e.Name, ac.Level_of_Access FROM Employees e JOIN Access_Codes ac NO e.Employee_ID = ac.Employee_ID;",syntax,misspelling,anger,No stress about spelling! 'NO' should be 'ON' in the query.,Learning correct spelling of basic SQL keywords
"SELECT e.Name, l.Action_Description FROM Employees e LAFT JOIN Logs l ON e.Employee_ID = l.Employee_ID;",syntax,misspelling,neutral,There's a typo in 'LAFT JOIN'.,Understanding proper spelling of JOIN keywords
SELECT * FROM Robots WHERE Robot_ID BETWEN 1 AND 10;,syntax,misspelling,calmness,Check the spelling of BETWEEN.,Learning correct spelling of basic SQL keywords
"SELECT Robot_ID, Model FROM Robots WHERE Status = 'active' ANF Manufacturing_Date > '2020-01-01';",syntax,misspelling,sadness,Don't worry about typos! Correct the typo for ‘ANF'.,Learning correct spelling of basic SQL keywords
"SELECT Employee_ID, CONUT(Log_ID) AS Log_Count FROM Logs WHERE Action_Description = 'software update' GROUP BY Employee_ID HAVING COUNT(Log_ID) > 5;",syntax,misspelling,happiness,Great job on the query! Just fix the typo about COUNT.,Learning correct spelling of basic SQL keywords
SELECT e.Name FROM Employees e WHERE EXSTS (SELECT 1 FROM Robots r WHERE r.Employee_ID = e.Employee_ID);,syntax,misspelling,anger,"Check the spelling of 'EXSTS'. Don't worry, it's an easy mistake!",Learning correct spelling of basic SQL keywords
SELECT * FROM Incidents WHERE Description NOF LIKE '%critical%';,syntax,misspelling,neutral,There's a typo about NOF in the query.,Learning correct spelling of basic SQL keywords
"SELECT Level_of_Access, Employee_ID FROM Access_Codes ORDER BY Employee_ID DSEC;",syntax,misspelling,calmness,Correct spelling is important. Check the spelling of 'DSEC'.,Learning correct spelling of basic SQL keywords
SELECT Description FROM Incidents LIMT 5;,syntax,misspelling,sadness,Don't worry about typos! Correct the typo for ‘LIMT’.,Learning correct spelling of basic SQL keywords
SELECT l.Action_Description FROM Logs l WHERE l.Robot_ID NI(SELECT Robot_ID FROM Robots WHERE Status = 'Active');,syntax,misspelling,anger,"Correct the typo for ‘NI’. Don't worry, it's an easy mistake!",Learning correct spelling of basic SQL keywords
SELECT * FROM Logs WHERE Action_Description LIEK '%Update%';,syntax,misspelling,neutral,Correct the typo for 'LIEK'.,Learning correct spelling of basic SQL keywords
SELECT COUNT(DISTINT Employee_ID) AS Employee_Count FROM Robots WHERE Model = 'R2R2';,syntax,misspelling,calmness,There's a typo in ‘DISTINT'.,Learning correct spelling of basic SQL keywords
SELECT * FROM Access_Codes WHERE Employee_ID IS NTO NULL;,syntax,misspelling,sadness,Don't worry about the typo! Just fix the typo for NOT.,Learning correct spelling of basic SQL keywords
SELECT Model FROM Robots ORDER BY Manufacturing_Date ACS;,syntax,misspelling,happiness,Great job! Just fix the typo for 'ACS'.,Learning correct spelling of basic SQL keywords
SELECT Name FROM Employees WHERE LENGHT(Name) > 5;,syntax,misspelling,anger,Take a deep breath and relax! There's a typo in 'LENGHT'.,Learning correct spelling of basic SQL functions
"SELECT r.Model, COUNT(*) FROM Robots r RIGTH JOIN Logs l ON r.Robot_ID = l.Robot_ID GROUP BY r.Model;",syntax,misspelling,neutral,Correct the typo for JOIN keywords.,Understanding proper spelling of JOIN keywords
SELECT Employee_ID FROM Employees UINON SELECT Employee_ID FROM Robots;,syntax,misspelling,calmness,There's a typo in 'UINON'.,Learning correct spelling of basic SQL keywords
SELECT * FROM Incidents WHERE Timestamp > '2022-01-01' ORDRE BY Robot_ID;,syntax,misspelling,happiness,"Good Start! However, there is a typo in 'ORDRE', try to fix it.",Understanding correct spelling of ORDER BY clause
"SELECT Name, CASE WHEN Last_Login_Time > '2023-11-01' TEHN 'Recent User' WHEN Last_Login_Time > '2023-01-01' THEN 'Regular User' ELSE 'Inactive User' END FROM Employees;",syntax,misspelling,anger,Don't stress about the typo! Check THEN keywords.,Learning correct spelling of basic SQL keywords
"SELECT e.Name, r.Model FROM Employees e CORSS JOIN Robots r;",syntax,misspelling,neutral,There is a typo in 'CORSS'.,Understanding proper spelling of JOIN keywords
"SELECT DSITINCT Robot_ID, Employee_ID, Description FROM Incidents;",syntax,misspelling,happiness,Great job on the query! Just fix the typo for 'DSITINCT'.,Learning correct spelling of basic SQL keywords
SELECT * FROM employees WHERE Name = 'John' ADN Job_Role = 'Developer';,syntax,misspelling,sadness,Don't worry about typos! Fix the typo for 'ADN'.,Learning correct spelling of basic SQL keywords
"SELECT i.Robot_ID, CUONT(*) FROM Incidents i GROUP BY i.Robot_ID;",syntax,misspelling,anger,No stress about spelling! Fix the typo for 'CUONT'.,Learning correct spelling of basic SQL keywords
"SLECT e.Name, ac.Timestamp_of_Last_Use FROM Employees e JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID WHERE e.Division = 'Finance';",syntax,misspelling,neutral,There's a typo in 'SLECT'.,Learning correct spelling of basic SQL keywords
SELECT * FROM Robots WHERE Last_Software_Update SI NULL;,syntax,misspelling,sadness,Don't worry about typos! Check the spelling of 'SI'.,Learning correct spelling of basic SQL keywords
"SELECT Job_Role, COUNT(*) FROM Employees GROP BY Job_Role;",syntax,misspelling,calmness,Check the spelling of GROUP BY.,Learning proper spelling of GROUP BY clause
SELECT Robot_ID FROM Robots LIMIT 10 OFSET 5;,syntax,misspelling,happiness,Great attempt! Just fix the typo for 'OFSET'.,Learning correct spelling of basic SQL keywords
"SELECT Division, COUNT(*)  FROM Employees GRUOP BY Division HAVING COUNT(*) > 1;",syntax,misspelling,anger,No stress about spelling! Pay attention to the typo about GROUP BY.,Learning proper spelling of GROUP BY clause
"SELECT Name, CASE WHEN Job_Role = 'Manager' THEN 'Leadership' ESLE 'Staff' END AS Role_Type FROM Employees;",syntax,misspelling,neutral,There's a typo in 'ESLE'.,Learning correct spelling of basic SQL keywords
SELECT * FROM Employees WERE Division = 'Sales';,syntax,misspelling,neutral,Let's review the SQL keywords for accuracy.,Learning correct spelling of basic SQL keywords
"SELECT Name, Job_Role FORM Employees WHERE Division = 'IT';",syntax,misspelling,sadness,It's okay to make mistakes. Remember to double-check your SQL keywords for accuracy.,Learning correct spelling of basic SQL keywords
"SELECT Name, Job_Role FROM Employees WHERE Division = 'Engineering' ODRER BY Name;",syntax,misspelling,sadness,It's okay to make mistakes. Remember to double-check your SQL keywords for typos.,Understanding correct spelling of ORDER BY clause
"SELECT Job_Role, COUNT(*) AS Num_Employees FROM Employees WHERE Division = 'Engineering' GORUP BY Job_Role ORDER BY COUNT(*);",syntax,misspelling,sadness,It's okay to make mistakes. Let's focus on correcting the misspelled keywords in your query.,Learning proper spelling of GROUP BY clause
SELET Action_Description FROM Logs;,syntax,misspelling,anger,Frustration can lead to mistakes. Take a deep breath and carefully correct the misspellings.,Learning correct spelling of basic SQL keywords
SELECT DSITINCT Division FROM Employees WHERE Job_Role = 'Developer';,syntax,misspelling,happiness,Good try! Remember to correct the misspelled SQL keywords.,Learning correct spelling of basic SQL keywords
SELECT r.Model FROM Robots r LAFT JION Incidents i ON r.Robot_ID = i.Robot_ID;,syntax,misspelling,calmness,Review the SQL keywords carefully for spelling errors.,Understanding proper spelling of JOIN keywords
"SELECT Division, COUNT(*) AS Num_Employees FROM Employees GROUP BY Division HVAING COUNT(*) > 3;",syntax,misspelling,happiness,Keep up the good work! Just remember to correct the misspelled keywords.,Learning correct spelling of basic SQL keywords
"SELECT e.Name, COUNT(r.Robot_ID) AS Num_Robots FROM Employees e LEFT JOIN Robots r ON e.Employee_ID = r.Employee_ID GROUP BY e.Name HIAVNG CUONT(r.Robot_ID) >= 1;",syntax,misspelling,sadness,"It's okay to make mistakes, try to correct the misspelled keywords in the query.",Learning correct spelling of basic SQL keywords
SELECT * FROM Incidents WHERE Description LKIE '%error%' ORDER BY Timestamp DESC;,syntax,misspelling,sadness,Don't be discouraged! Remember to double-check the spelling of SQL keywords.,Learning correct spelling of basic SQL keywords
"SELECT Robot_ID, Model FROM Robots WHERE Manufacturing_Date BTEWEEN '2020-01-01' AND '2024-12-31';",syntax,misspelling,happiness,Great job! Just remember to correct the misspelled keywords for the query to work.,Learning correct spelling of basic SQL keywords
SELECT r.Status FROM Robots r INNE JOIN Incidents i ON r.Robot_ID = i.Robot_ID;,syntax,misspelling,anger,Frustration can lead to mistakes. Take a deep breath and double-check your spelling of SQL keywords.,Understanding proper spelling of JOIN keywords
SELCT DISTINCT Level_of_Access FORM Access_Codes;,syntax,misspelling,calmness,Please carefully review the SQL keywords for any misspellings.,Learning correct spelling of basic SQL keywords
SELECT * FROM Employees e RIGT JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID;,syntax,misspelling,sadness,It's okay to make mistakes. Remember to double-check your SQL keywords for accuracy.,Understanding proper spelling of JOIN keywords
"SELECT Job_Role, COUNT(*) FORM Employees WHERE Division = 'HR' GRUP BY Job_Role;",syntax,misspelling,happiness,You're almost there! Try correcting the misspelled keywords for a perfect query.,Learning proper spelling of GROUP BY clause
"SELCET Action_Description, COUNT(*) AS Action_Count FROM Logs GROUP BY Action_Description HAVING CONUT(*) > 10 ORDER BY Action_Count DSEC;",syntax,misspelling,anger,Frustration can hinder progress. Take a deep breath and correct the misspelled keywords in your query.,Learning correct spelling of basic SQL keywords
"SELECT Robot_ID, COUNT(*) FROM Logs WHRE Employee_ID = 1 GROUP BY Robot_ID;",syntax,misspelling,calmness,Remember to correct the misspelled SQL keywords.,Learning correct spelling of basic SQL keywords
SELCT Model FROM Robots WERE Status = 'Maintenance';,syntax,misspelling,happiness,Keep up the good work! Just double-check the spelling of some SQL keywords.,Learning correct spelling of basic SQL keywords
SELECT * FROM Employees WERE Last_Login_Time > '2024-01-01' ODER BY Name;,syntax,misspelling,happiness,Keep up the good work! Just remember to correct the misspelled keywords.,Learning correct spelling of basic SQL keywords
SELECT * FROM Incidents WHERE Description LIKE '%error%' ODER BY Timestamp DESC;,syntax,misspelling,anger,It's okay to make mistakes. Pay attention to correct spellings of SQL keywords.,Understanding correct spelling of ORDER BY clause
SELECT Name FROM Employees ORDER BY Name ACS;,syntax,misspelling,neutral,Use ASC for ascending order.,Learning correct spelling of basic SQL keywords
SELECT Name FROM Employees WHERE Division = 'IT' ORDRE BY Job_Role;,syntax,misspelling,sadness,Don't worry about the typo! Just fix the ORDRE BY.,Understanding correct spelling of ORDER BY clause
"SELECT e.Division, r.Status, COUNT(*) FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID GRUOP BY e.Division, r.Status;",syntax,misspelling,calmness,GRUOP BY is misspelled.,Learning proper spelling of GROUP BY clause
SELECT Employee_ID FROM Employees WHERE Division == 'IT' AND Job_Role === 'Manager';,syntax,non-standard operators,sadness,"Don't worry about operator confusion! In SQL, use single '=' for equality.",Understanding SQL equality
SELECT Robot_ID FROM Robots WHERE (Status != 'Active' || Model LIKE 'X%') AND Manufacturing_Date > '2020-01-01';,syntax,non-standard operators,calmness,Stay focused on SQL syntax! Use 'OR' instead of '||' for logical operations. SQL uses word-based logical operators.,Understanding SQL uses word-based logical operators
SELECT * FROM Logs WHERE Action_Description =~ '%error%' AND Timestamp >= '2022-01-01';,syntax,non-standard operators,anger,"No stress about pattern matching! In SQL, use 'LIKE' instead of '=~'. SQL has its own way of matching patterns.",Understanding SQL pattern matching with LIKE
SELECT Incident_ID FROM Incidents WHERE Timestamp > '2022-06-01' AND Robot_ID := (SELECT Robot_ID FROM Robots WHERE Status = 'New');,syntax,non-standard operators,happiness,"Good job on using subqueries! However, use '=' instead of ':='. ':=' is not a valid operator in this context.",Learning SQL assignment and comparison operators
SELECT Model FROM Robots WHERE Status = 'Active' | Status = 'Standby';,syntax,non-standard operators,neutral,"In SQL, use 'OR' instead of '|' for logical operations. SQL uses word-based logical operators.",Understanding SQL uses word-based logical operators
UPDATE Incidents SET Description == 'Updated incident' WHERE Incident_ID = 1001;,syntax,non-standard operators,calmness,"Remember, SQL uses single '=' for equality in SET clause.",Understanding SQL equality
SELECT Employee_ID FROM Robots WHERE Status !== 'Active' OR Model LIKE 'X%';,syntax,non-standard operators,sadness,"Don't worry about the operator mix-up! In SQL, use '!=' or '<>' for not equal.",Learning correct SQL inequality
SELECT * FROM Robots WHERE Employee_ID IN (SELECT Employee_ID FROM Employees WHERE Division === 'Engineering');,syntax,non-standard operators,happiness,Great job on the subquery! You used === in the WHERE clause. SQL does not support ===; use = for equality instead.,Understanding SQL equality
SELECT Employee_ID FROM Employees WHERE Employee_ID % 2 == 0;,syntax,non-standard operators,anger,"No worries about the operator confusion! In SQL, it only supports = for equality, not ==.",Understanding SQL equality
"SELECT Level_of_Access, COUNT(*) FROM Access_Codes GROUP BY Level_of_Access HAVING COUNT(*)++ > 1;",syntax,non-standard operators,neutral,You used ++ in the HAVING clause. SQL does not support increment operators.,Learning SQL assignment and comparison operators
"SELECT Name, Job_Role FROM Employees WHERE Division === 'IT';",syntax,non-standard operators,sadness,"Don't worry about the assignment operator! In SQL, use '=' for assignment.",Learning SQL assignment and comparison operators
"SELECT Name, Division FROM Employees e WHERE EXISTS (SELECT 1 FROM Access_Codes ac WHERE e.Employee_ID = ac.Employee_ID && Level_of_Access = 'guest');",syntax,non-standard operators,calmness,"You used && in the subquery. SQL requires AND for logical conjunction, not &&.",Understanding SQL uses word-based logical operators
"SELECT e.Name, (r.Status == 'Active' ? 'Working' : 'Not Working') FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID;",syntax,non-standard operators,happiness,"Nice try! However, you used the ?: ternary operator and == in SQL. SQL does not support the ternary syntax.",Understanding SQL standard operators
SELECT * FROM Robots r WHERE ! EXISTS (SELECT 1 FROM Incidents i WHERE i.Robot_ID = r.Robot_ID);,syntax,non-standard operators,anger,No stress about mistakes! SQL does not support ! for negation; use NOT EXISTS instead.,Understanding SQL uses word-based logical operators
"SELECT e.Name, r.Status FROM Employees e JOIN Robots r ON e.Employee_ID & r.Employee_ID;",syntax,non-standard operators,neutral,You used & in the JOIN condition. SQL requires a boolean expression such as = for joins.,Understanding SQL equality
"SELECT e.Name, ac.Level_of_Access FROM Employees e LEFT JOIN Access_Codes ac ON e.Employee_ID === ac.Employee_ID;",syntax,non-standard operators,calmness,"Stay calm! In SQL, use single '=' for equality comparison in JOINs.",Understanding SQL equality
SELECT Employee_ID FROM Access_Codes WHERE Access_Code_ID <== 200;,syntax,non-standard operators,anger,Don't get frustrated! You used <== in the WHERE clause. SQL does not support <==; use <= for “less than or equal to” instead.,Learning SQL assignment and comparison operators
"SELECT i.Description, r.Status FROM Incidents i JOIN Robots r ON i.Robot_ID * r.Robot_ID;",syntax,non-standard operators,neutral,You used * in the JOIN condition. SQL requires a boolean expression like = for joins.,Understanding SQL equality
"SELECT l.Log_ID, e.Name FROM Logs l JOIN Employees e ON l.Employee_ID -> e.Employee_ID;",syntax,non-standard operators,neutral,SQL requires a boolean expression such as = for joins.,Understanding SQL equality
"SELECT e.Name, r.Model, i.Description FROM Employees e JOIN Robots r ON e.Employee_ID == r.Employee_ID JOIN Incidents i ON r.Robot_ID == i.Robot_ID;",syntax,non-standard operators,calmness,SQL requires a boolean expression such as = for join conditions.,Understanding SQL equality
SELECT Robot_ID FROM Robots WHERE Manufacturing_Date >= '2020-01-01' && Status = 'New';,syntax,non-standard operators,sadness,Don't worry about operators! Use 'AND' instead of '&&' for logical AND in SQL.,Understanding SQL uses word-based logical operators
DELETE FROM Incidents WHERE Robot_ID IS NULL || Employee_ID IS NULL;,syntax,non-standard operators,happiness,"Good attempt! Howver, we need to use 'OR' instead of '||' for logical operations.",Understanding SQL uses word-based logical operators
SELECT Name FROM Employees WHERE ! (Division = 'IT');,syntax,non-standard operators,anger,No stress about negation! Use 'NOT' instead of '!' for logical negation in SQL.,Understanding SQL standard operators
